,Politics,Business,Football,Film,Technology
Cluster1,0.0880256593015,0.900213827512,0.0032074126871,0.00178189593728,0.00677120456165
Cluster2,0.0166475315729,0.0803673938002,0.0929965556831,0.00746268656716,0.802525832377
Cluster3,0.971721311475,0.0188524590164,0.00450819672131,0.00122950819672,0.00368852459016
Cluster4,0.0,0.00237207726195,0.992883768214,0.00101660454083,0.00372754998306
Cluster5,0.0154705629566,0.00687580575849,0.00386764073915,0.95229909755,0.0214868929953
