,F-measure,Precision,Recall_score,Accuracy,AUC
SVC_linear,0.964047910243,0.965303209989,0.96296013989,0.966422167889,0.595803571553
GaussianNB,0.879356532218,0.881800629534,0.883028066722,0.887367563162,0.594693052123
RandomForest,0.955523931946,0.955949945872,0.955269586273,0.958761206194,0.596414097114
KNN,0.0,0.0,0.0,0.0,0.0
